Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"To verify if clicking ""Code View"" opens the coding page and anything written in it is reflected in the original page",RP-154,10189,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:10 AM,08/Sep/21 3:53 PM,09/Sep/21 4:50 AM,07/Sep/21 6:10 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:y9,,Products Sprint,,,,,,,,Done
"To verify if the ""Full Screen"" option opens the ""Description"" field in full screen",RP-153,10188,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:10 AM,08/Sep/21 3:50 PM,09/Sep/21 4:50 AM,07/Sep/21 6:09 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:zw,,Products Sprint,,,,,,,,Done
"To verify if on hovering mouse on ""Font Family"" present in ""Description"" displays comment and if on clicking it the dropdown appears",RP-152,10187,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:10 AM,08/Sep/21 3:50 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:zx,,Products Sprint,,,,,,,,Done
"To verify if texted typed is bolded on clicking ""Bold"" in ""Description"" field",RP-151,10186,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:10 AM,08/Sep/21 3:51 PM,09/Sep/21 4:50 AM,07/Sep/21 6:09 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:zv,,Products Sprint,,,,,,,,Done
"To verify if a style can be selected from the ""Style"" field",RP-150,10185,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:10 AM,08/Sep/21 3:51 PM,09/Sep/21 4:50 AM,07/Sep/21 6:09 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:zr,,Products Sprint,,,,,,,,Done
"To verify if on hovering mouse on ""Style"" present in ""Description"" displays comment and if on clicking it the dropdown appears",RP-149,10184,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:09 AM,08/Sep/21 3:52 PM,09/Sep/21 4:50 AM,07/Sep/21 6:10 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:yv,,Products Sprint,,,,,,,,Done
"To verify if ""Unordered List"" option can be used  in ""Description"" field to unordered list",RP-148,10183,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:09 AM,08/Sep/21 3:52 PM,09/Sep/21 4:50 AM,07/Sep/21 6:10 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:yr,,Products Sprint,,,,,,,,Done
"To verify if on dragging the white bar at the bottom of ""Description"" field expands the field",RP-147,10182,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:09 AM,08/Sep/21 3:53 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:w9,,Products Sprint,,,,,,,,Done
"To verify if the shortcut keys are displayed when ""Help"" is clicked in the ""Description field"" and can be closed of clicking the ""x"" on the top right corner",RP-146,10181,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:53 PM,09/Sep/21 4:50 AM,07/Sep/21 6:10 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:yi,,Products Sprint,,,,,,,,Done
"To verify if on selecting a font from ""Font family"" texts appear in the selected font",RP-145,10180,Test,Blocked,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,09/Sep/21 3:38 AM,09/Sep/21 4:50 AM,,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:wr,,Products Sprint,,,,,,,,In Progress
